1.308863 1.107936 3.879880 0.523318 0.569811 1.047604 3143.476561 3108.502000 3.526572 -0.038337 0.038211 -0.083273 -11.684097 6.395691 1.334511 9.649653 9.124251 234.415246 0.593280 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.321852 1.091640 9.207209 0.881284 2.084457 1.044788 1857.521279 1817.701000 14.961790 0.256413 -0.735976 -0.059028 4.087203 16.491976 -4.307413 10.931831 6.898615 185.509570 0.702349 5 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) SN2 
1.317199 1.107936 16.877589 0.831868 5.160852 1.050878 59354.599343 59318.200000 9.152964 -0.006075 -0.028880 -0.079687 3.706476 -14.194188 9.192628 10.400359 8.028387 144.028192 0.530661 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.338387 1.107936 1.935303 0.369560 0.199522 1.059144 373.568134 342.604800 2.920823 0.090353 0.312949 0.054665 4.551375 -10.846290 5.632369 10.238410 9.792872 556.375789 0.767669 6 MT1(2-1) SN1 CE2(13-4;13-7) MT2(13-8) MT2(13-9) SN2 
1.326030 1.107936 1.182232 0.168758 0.095504 1.054333 111.763741 73.994060 9.971458 -0.052853 -0.289350 0.111031 3.357293 6.591674 -2.696402 10.297044 7.785168 83.295630 0.213953 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 547128.695672 0.743135 29550017.032256 1.096894 204603100000000006946816.000000 204603100000000006946816.000000 3.663169 -0.210118 -0.286934 -0.202744 -0.195147 -0.278146 -0.204249 8.016024 7.728193 39533.178176 0.098333 2 SN1 SN2 
1.309075 1.336476 5.912683 0.155053 1.024572 1.151469 36376.782755 36362.870000 3.669772 -0.346324 1.315447 0.445689 -26.454540 -5.703668 1.848015 19.693393 15.434520 186.456852 0.052104 4 MT1(2-1) SN1 CE2(13-2;13-7) SN2 
1.336789 1.107936 4.159506 0.865327 0.628885 1.058524 139.101570 107.981200 3.925168 0.059669 -0.314941 0.113050 -25.871206 22.016519 4.908252 10.409803 9.585701 160.121988 0.125724 6 MT1(2-1) SN1 CE2(13-4;13-7) MT2(13-8) MT2(13-9) SN2 
1.280914 1.107936 53.877076 0.680903 29.657554 1.036533 41975953.553936 41975910.000000 11.719180 0.036230 -0.092007 0.001700 3.411454 -5.242002 -5.450073 9.589902 7.186459 204.698797 0.443323 7 MT1(2-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.317427 1.107936 2.001120 0.781331 0.210690 1.050968 64.455313 25.831840 11.138080 -0.054941 0.027968 0.028073 -12.393090 15.728661 7.078958 10.361139 7.514664 81.129746 0.177286 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.324998 1.107936 2.327630 0.025579 0.263894 1.053930 1265.529849 1233.742000 5.078732 -0.218220 -0.135449 -0.276625 -11.419904 -6.447522 7.838161 10.509008 9.286188 292.677974 0.569320 6 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
